airline_id,airline_code,airline_name,check_in_link,check_in_time
835,00,LANHSA,,0
745,01,JetHunter,,0
888,0A,Emetebe,,0
896,0B,Blue Air,,0
429,0C,AIS Airlines,,0
680,0D,Finistair,,0
703,0E,Northwest,,0
794,0F,FlyALS,,0
258,0G,Grumeti Air,,0
787,0H,Uzbekistan Airways Express,,0
490,0I,Meraj Airlines,,0
1010,0J,Premium Jet AG,,0
249,0K,GlobeAir,,0
765,0L,Lodyssey,,0
910,0M,Premier Airlines,,0
565,0N,Jonair,,0
420,0O,Air Ocean,,0
1066,0P,Silver Air,,0
287,0Q,Hydro - Quebec,,0
416,0R,Renegade Air,,0
396,0S,Sunday Airlines,,0
1062,0T,AnadoluJet,,0
200,0U,Speed train,,0
352,0V,Heron Aviation,,0
425,0W,AS SALAAM AIR,,0
1012,0X,Air Excel,,0
614,0Y,FlyArystan,,0
369,0Z,Magnicharters,,0
641,1A,Amadeus IT Group SA,,0
679,1B,Abacus International Pte. Ltd.,,0
585,1C,Hewlett-Packard (Schweiz) GmbH,,0
255,1D,Radixx Solutions International, Inc.,,0
681,1E,Travelsky Technology Limited,,0
915,1F,INFINI Travel Information, Inc.,,0
846,1G,Travelport Global Distribution SystemB.V.,,0
184,1H,"JSC ""Sirena-Travel""",,0
133,1I,ChallengAir,,0
467,1J,Axess International Network Inc.,,0
190,1K,Sutra Inc.,,0
608,1L,CitizenPlane,,0
510,1M,JSC Transport Automated InformationSystems - TAIS,,0
528,1N,Navitaire,,0
380,1P,Worldspan,,0
58,1R,Bird Information Systems Private Limited,,0
1018,1S,Sabre Inc.,,0
771,1T,PT Aerosystems Indonesia,,0
323,1U,ITA Software Inc.,,0
622,1V,Galileo International,,0
881,1X,Fly Branson Travel dba Branson AirExpress,https://checkin.onex.com/mci/start,24
961,1Y,Electronic Data Systems Corporation,,0
582,1Z,Sabre Pacific,,0
1030,2A,Deutsche Bahn AG,,0
934,2B,Ak Bars Aero,,0
954,2C,SNCF,,0
943,2D,Eastern Airlines, LLC,,0
635,2E,Smokey Bay Air, Inc.,,0
814,2F,Afrinat International Airlines,,0
359,2G,Angara Airlines,,0
144,2H,Eurostar,,0
575,2I,Star Peru,,0
938,2J,Air Burkina,,0
487,2K,Avianca Ecuador,,0
354,2L,Helvetic Airways,,0
256,2M,Moldavian Airlines,,0
223,2N,Nextjet,,0
131,2O,Redemption Inc.,,0
